house_title,location,emi,price,bathroom,parking,localityTruncated,propertyType,state,typeDesc,propertySize
3 BHK Flat  For Sale  In Prime Spacio,Prime Spacio,"49,577/Month",8650000,2,BOTH,Prime Spacio,BUY,READY,3 BHK,1210
"2 BHK Flat  In Goyal Darshan Nagari For Sale  In Keshav Nagar, Chinchwad","Keshav Nagar, Chinchwad","30,949/Month",5400000,2,FOUR_WHEELER,"Keshav Nagar, Chinchwad",BUY,READY,2 BHK,980
2 BHK Flat  For Sale  In Vishal Co-op Housing Society,Vishal Co-op Housing Society,"14,328/Month",2500000,1,TWO_WHEELER,Vishal Co-op Housing Society,BUY,READY,2 BHK,625
2 BHK In Lig For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"45,851/Month",8000000,3,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,1500
"3 BHK Flat  In Runal Nets, Bijalinagar For Sale  In Chinchwad",Chinchwad,"63,045/Month",11000000,2,BOTH,Chinchwad,BUY,READY,3 BHK,1350
3 BHK Flat  In Shitchaya Housing Society For Sale  In Nigdi,Nigdi,"85,971/Month",15000000,3,BOTH,Nigdi,BUY,READY,3 BHK,1250
2 BHK Flat  For Sale  In Chinchwad,Chinchwad,"40,120/Month",7000000,1,NONE,Chinchwad,BUY,READY,2 BHK,950
2 BHK Flat  For Sale  In Nigdi Praadhikaran,Nigdi praadhikaran,"48,717/Month",8500000,2,BOTH,Nigdi praadhikaran,BUY,READY,2 BHK,940
2 BHK Flat  In Deshwar Classics  For Sale  In Akurdi,Akurdi,"32,669/Month",5700000,1,TWO_WHEELER,Akurdi,BUY,READY,2 BHK,645
"2 BHK Flat  In High Bliss Society, Chinchwad For Sale  In Chinchwad",Chinchwad,"44,705/Month",7800000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,964
2 BHK Flat  In Navkar Darshan  For Sale  In Pimpri-chinchwad ,Pimpri-Chinchwad ,"60,180/Month",10500000,2,FOUR_WHEELER,Pimpri-Chinchwad ,BUY,READY,2 BHK,1058
1 BHK Flat  In Shivananda Housing Society For Sale  In Chinchwad,Chinchwad,"22,925/Month",4000000,1,BOTH,Chinchwad,BUY,READY,1 BHK,625
4 BHK Flat  In Jankiban Chs  For Sale  In Nigdi,Nigdi,1.03 Lacs/Month,18000000,4,BOTH,Nigdi,BUY,READY,4 BHK,2386
2 BHK Flat  In Kharde Patil Chaitanya Vihar Phase 2 For Sale  In Chinchwad,Chinchwad,"45,851/Month",8000000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1262
